"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"278","Davy Pröpper","Vitesse",3500000,22,33,1,6,5,2878,185,5,0,0,3,0,0,1,3,"Midfielder"
"279","Edwin Gyasi","Heracles Almelo",6e+05,22,2,1,0,0,21,185,1,0,0,0,0,0,2,0,"Forward"
"280","Dion Malone","ADO Den Haag",450000,25,32,1,1,5,2810,185,2,0,0,5,1,0,0,2,"Defender"
"281","Cuco Martina","FC Twente Enschede",6e+05,24,16,2,1,0,1014,185,1,0,0,0,0,0,6,0,"Defender"
"282","Joey Suk","NAC Breda",5e+05,24,17,3,2,0,679,185,1,0,0,0,0,1,10,3,"Midfielder"
"283","Patrick ter Mate","Go Ahead Eagles Deventer",75000,22,1,0,0,0,90,185,3,0,0,0,0,0,0,0,"Goalkeeper"
"284","Mark Uth","Heracles Almelo",5e+05,22,28,0,8,3,2134,185,1,0,0,4,0,0,2,10,"Forward"
"285","Torgeir Börven","FC Twente Enschede",9e+05,22,12,4,3,1,482,185,0.5,0,0,0,0,0,9,1,"Forward"
"286","Juan Agudelo","FC Utrecht",1e+06,21,14,0,3,3,887,185,0.5,1,0,2,0,0,6,2,"Forward"
"287","Marten de Roon","sc Heerenveen",1e+06,23,31,1,3,0,2711,185,2,0,0,7,0,0,1,1,"Midfielder"
"288","Stefano Denswil","AFC Ajax",2500000,20,17,1,1,0,1351,185,2,0,1,1,0,0,2,1,"Defender"
"289","Davy Klaassen","AFC Ajax",3500000,21,26,4,10,3,2086,185,2,0,0,1,0,0,3,3,"Midfielder"
"290","Luka Djordjevic","FC Twente Enschede",1200000,19,14,0,0,2,233,185,1,1,0,2,0,0,13,1,"Forward"
"291","Tim Hölscher","FC Twente Enschede",5e+05,19,1,3,0,0,23,185,1,0,0,0,0,0,1,0,"Midfielder"
"292","Hans Hateboer","FC Groningen",1e+05,20,14,3,0,2,1194,185,2,0,1,4,0,1,1,0,"Defender"
"293","Michael Lamey","RKC Waalwijk",250000,34,15,1,1,0,988,186,2,0,0,5,0,0,4,2,"Defender"
"294","Michael Higdon","NEC Nijmegen",750000,30,32,1,14,7,2524,186,1,0,0,6,0,0,4,6,"Forward"
"295","Willem Janssen","FC Utrecht",2e+06,27,7,4,1,1,431,186,0,0,0,1,0,0,1,3,"Midfielder"
"296","Jacob Mulenga","FC Utrecht",2500000,30,16,0,5,1,968,186,5,0,0,0,0,0,6,2,"Forward"
"297","Jordy Buijs","NAC Breda",8e+05,25,32,0,6,5,2869,186,3,0,0,4,0,0,0,1,"Midfielder"
"298","Robert Zwinkels","ADO Den Haag",250000,31,6,0,0,0,540,186,9,0,0,0,0,0,0,0,"Goalkeeper"
"299","Rasmus Bengtsson","FC Twente Enschede",2500000,27,28,1,5,1,2350,186,4,0,0,7,0,1,1,3,"Defender"
"300","Jan-Arie van der Heijden","Vitesse",3500000,26,32,1,0,2,2841,186,3,0,0,7,0,0,0,2,"Defender"
"301","Marko Vejinovic","Vitesse",2e+06,24,30,3,2,2,2133,186,1,0,0,4,0,0,6,4,"Midfielder"
"302","Maikel van der Werff","PEC Zwolle",3e+05,25,24,1,1,1,1839,186,1.5,0,2,1,0,0,4,4,"Defender"
"303","Victor Pálsson","NEC Nijmegen",7e+05,23,23,2,2,2,1887,186,1,0,0,3,0,1,3,0,"Midfielder"
"304","Dan Mori","Vitesse",6e+05,25,4,1,1,0,360,186,2,0,0,2,0,0,0,0,"Defender"
"305","Prince Gouano","RKC Waalwijk",5e+05,20,20,0,0,0,1730,186,1,0,0,1,0,0,0,2,"Defender"
"306","Gyliano van Velzen","FC Utrecht",150000,20,5,2,0,0,224,186,1,1,0,0,0,0,3,1,"Forward"
"307","Karim Rekik","PSV Eindhoven",2500000,19,25,0,1,0,2197,186,1,0,0,7,0,0,0,3,"Defender"
"308","Danzell Gravenberch","NEC Nijmegen",250000,20,6,0,0,0,288,186,0.5,0,0,0,0,0,4,1,"Defender"
"309","Richairo Zivkovic","FC Groningen",2500000,17,29,2,10,0,1350,186,1,0,0,2,0,0,17,4,"Forward"
"310","Alexander Christovao","SC Cambuur-Leeuwarden",150000,21,7,0,0,0,232,186,1,0,0,0,0,0,5,1,"Forward"
"311","Jelle ten Rouwelaar","NAC Breda",8e+05,33,34,2,0,0,3060,187,7,0,0,2,0,0,0,0,"Goalkeeper"
"312","Remko Pasveer","Heracles Almelo",1250000,30,33,0,0,0,2970,187,8,0,0,2,0,0,0,0,"Goalkeeper"
"313","Wesley Verhoek","Feyenoord Rotterdam",1e+06,27,6,2,0,0,161,187,2,1,0,1,0,0,5,1,"Forward"
"314","Lex Immers","Feyenoord Rotterdam",2500000,27,33,2,12,6,2906,187,2,0,0,5,0,0,0,4,"Midfielder"
"315","Stef Nijland","PEC Zwolle",7e+05,25,24,2,2,1,999,187,1,1,0,3,0,0,15,6,"Forward"
"316","Paco van Moorsel","SC Cambuur-Leeuwarden",3e+05,24,23,0,1,1,1185,187,1,1,0,3,0,0,9,10,"Midfielder"
"317","Ramon Leeuwin","SC Cambuur-Leeuwarden",5e+05,26,32,1,3,0,2782,187,1,0,0,3,0,0,0,3,"Defender"
"318","Jeroen Veldmate","Heracles Almelo",4e+05,25,19,1,1,1,1460,187,2,0,0,2,0,1,2,3,"Defender"
"319","Erik Falkenburg","Go Ahead Eagles Deventer",850000,26,31,0,9,2,2621,187,1,0,0,5,0,0,1,8,"Midfielder"
"320","Nemanja Gudelj","AZ Alkmaar",4e+06,22,29,3,5,3,2451,187,1,0,0,5,0,1,0,4,"Midfielder"
"321","Gévero Markiet","FC Utrecht",3e+05,23,20,2,1,0,1661,187,1.5,0,0,1,0,0,2,1,"Defender"
"322","Luc Castaignos","FC Twente Enschede",6e+06,21,31,2,14,5,2626,187,2,0,0,4,0,1,0,13,"Forward"
"323","Jeffrey Gouweleeuw","AZ Alkmaar",2500000,22,33,4,1,0,2970,187,1,0,0,2,0,0,0,0,"Defender"
"324","Karl-Johan Johnsson","NEC Nijmegen",5e+05,24,29,2,0,0,2529,187,1.5,0,0,0,0,0,1,0,"Goalkeeper"
"325","Markus Henriksen","AZ Alkmaar",2500000,21,26,3,2,0,1389,187,2,0,0,0,0,0,12,4,"Midfielder"
"326","Kenny Otigba","sc Heerenveen",1250000,21,24,2,5,0,2001,187,2,0,0,6,0,1,2,0,"Defender"
"327","Yanic Wildschut","ADO Den Haag",1e+06,22,25,0,2,1,851,187,0.5,0,0,0,0,0,20,5,"Forward"
"328","Mats Seuntjes","NAC Breda",5e+05,22,27,2,1,3,1780,187,3,0,0,6,0,0,8,8,"Midfielder"
"329","Robert van Boxel","SC Cambuur-Leeuwarden",150000,31,7,0,0,0,198,188,1,0,0,1,0,0,5,2,"Defender"
"330","Jonas Ivens","RKC Waalwijk",6e+05,29,10,0,0,0,518,188,1,0,0,1,0,1,5,1,"Defender"
"331","Berry Powel","Roda JC Kerkrade",6e+05,34,11,0,1,2,587,188,0.5,0,0,1,0,0,5,1,"Forward"
"332","Aleksei Kangaskolkka","Heracles Almelo",250000,25,4,1,0,0,87,188,1,0,0,1,0,0,3,1,"Forward"
"333","Bryan Ruiz","PSV Eindhoven",8e+06,28,14,0,5,3,1125,188,0.5,0,0,0,0,0,1,5,"Forward"
"334","Vito Wormgoor","ADO Den Haag",7e+05,25,25,2,0,0,1961,188,2,0,0,3,0,0,3,2,"Defender"
"335","Marcel Stutter","NEC Nijmegen",2e+05,26,10,0,0,2,363,188,2,1,0,1,0,0,7,1,"Midfielder"
"336","Tim Matavz","PSV Eindhoven",5e+06,25,15,2,2,3,679,188,3,0,0,1,0,0,8,3,"Forward"
"337","Andreas Bjelland","FC Twente Enschede",3e+06,25,33,2,0,2,2926,188,2,0,0,3,0,0,0,4,"Defender"
"338","Rens van Eijden","NEC Nijmegen",7e+05,26,29,2,3,0,2587,188,5,0,1,5,2,0,0,1,"Defender"
"339","Jop van der Linden","Go Ahead Eagles Deventer",4e+05,23,31,1,4,2,2740,188,2,0,1,2,0,0,0,5,"Defender"
"340","Dennis Telgenkamp","Heracles Almelo",350000,26,1,2,0,0,90,188,6,0,0,0,0,0,0,0,"Goalkeeper"
"341","Tobias Haitz","NEC Nijmegen",350000,22,10,1,0,0,777,188,1,0,1,2,1,0,1,1,"Defender"
"342","Bart Vriends","Go Ahead Eagles Deventer",3e+05,22,32,2,0,0,2880,188,1,0,0,5,0,0,0,0,"Defender"
"343","Jos Peltzer","RKC Waalwijk",1e+05,22,3,0,0,0,17,188,2,0,0,0,0,0,3,0,"Forward"
"344","Jasper Cillessen","AFC Ajax",5e+06,25,25,2,0,0,2205,188,3,0,0,0,0,0,1,0,"Goalkeeper"
"345","Filip Bednarek","FC Twente Enschede",150000,21,1,1,0,0,45,188,4,0,0,0,0,0,1,0,"Goalkeeper"
"346","Nick Marsman","FC Twente Enschede",2e+06,23,34,3,0,0,3060,188,3,0,1,2,0,0,0,0,"Goalkeeper"
"347","Wilfried Kanon","ADO Den Haag",5e+05,20,9,1,0,0,43,188,1,0,0,0,0,0,9,0,"Defender"
"348","Mike van der Hoorn","AFC Ajax",2e+06,21,3,3,0,0,183,188,1,0,0,0,0,0,1,0,"Defender"
"349","Robin Buwalda","ADO Den Haag",1e+05,19,2,2,0,0,19,188,1,0,0,0,0,0,2,0,"Defender"
"350","Xandro Schenk","Go Ahead Eagles Deventer",4e+05,21,30,1,3,1,2502,188,1,0,1,4,0,0,1,7,"Defender"
"351","Kees Kwakman","NAC Breda",8e+05,30,28,1,3,1,2358,189,1,0,0,2,0,0,2,0,"Defender"
"352","Nick van der Velden","FC Groningen",6e+05,32,19,1,6,8,1411,189,1,0,0,3,0,0,2,9,"Midfielder"
"353","Jan Wuytens","AZ Alkmaar",2e+06,28,26,3,0,1,2210,189,1,0,0,7,0,0,1,4,"Defender"
"354","Piet Velthuizen","Vitesse",4e+06,27,34,2,0,0,3060,189,3,0,0,2,0,0,0,0,"Goalkeeper"
"355","Evander Sno","RKC Waalwijk",8e+05,27,23,0,4,1,1940,189,1,1,0,3,0,0,0,7,"Midfielder"
"356","Jan Seda","RKC Waalwijk",4e+05,28,23,0,0,0,2025,189,1,0,0,0,0,0,0,1,"Goalkeeper"
"357","Arjan van Dijk","RKC Waalwijk",2e+05,27,12,1,0,0,1035,189,4,0,0,0,0,0,1,0,"Goalkeeper"
"358","Zanka","PSV Eindhoven",1500000,24,9,2,0,0,382,189,2,0,0,1,0,0,6,0,"Defender"
"359","Etiënne Reijnen","AZ Alkmaar",6e+05,27,9,0,0,1,683,189,3.5,0,0,1,0,0,1,1,"Defender"
"360","Jeroen Zoet","PSV Eindhoven",5e+06,23,29,3,0,0,2571,189,5,0,0,0,0,0,0,1,"Goalkeeper"
"361","Jeffrey Bruma","PSV Eindhoven",3e+06,22,31,3,4,1,2757,189,1,0,0,8,1,0,0,0,"Defender"
"362","Darryl Lachman","PEC Zwolle",1e+06,24,24,0,0,1,1994,189,3,0,0,3,0,0,2,1,"Defender"
"363","Stefan de Vrij","Feyenoord Rotterdam",6e+06,22,32,1,4,1,2842,189,4.5,0,0,2,1,0,0,1,"Defender"
"364","Stephan Andersen","Go Ahead Eagles Deventer",1e+06,32,13,0,0,0,1170,190,0.5,0,0,0,0,0,0,0,"Goalkeeper"
"365","Ronald Graafland","Feyenoord Rotterdam",50000,35,1,0,0,0,15,190,3,0,0,0,0,0,1,0,"Goalkeeper"
"366","Marnix Kolder","Go Ahead Eagles Deventer",4e+05,33,31,1,7,4,2334,190,3,0,0,1,0,0,5,5,"Forward"
"367","Kees Luijckx","Roda JC Kerkrade",8e+05,28,28,2,2,0,2325,190,1,0,0,6,1,0,2,2,"Defender"
"368","Vasil Shkurtaj","Roda JC Kerkrade",3e+05,22,8,0,1,1,239,190,1,1,0,0,0,0,5,3,"Forward"
"369","Kristoffer Nordfeldt","sc Heerenveen",2500000,24,33,1,0,1,2965,190,2.5,0,0,0,0,0,0,1,"Goalkeeper"
"370","Eloy Room","Vitesse",750000,25,20,1,0,0,1800,190,6,0,0,0,0,0,0,0,"Goalkeeper"
"371","Kai Heerings","FC Utrecht",7e+05,24,28,1,1,1,2461,190,2,0,0,6,0,0,0,2,"Defender"
"372","Dave Bulthuis","FC Utrecht",1250000,23,24,2,4,1,2148,190,3,0,0,6,1,0,0,1,"Defender"
"373","Sven van Beek","Feyenoord Rotterdam",5e+05,19,10,2,0,0,448,190,1,0,1,1,0,0,6,0,"Defender"
"374","Frank Demouge","Roda JC Kerkrade",5e+05,31,19,1,2,3,638,191,1,0,0,3,0,2,17,0,"Forward"
"375","Mitchell te Vrede","Feyenoord Rotterdam",750000,22,14,2,4,0,526,191,2,0,0,1,0,0,9,2,"Forward"
"376","Mike te Wierik","Heracles Almelo",6e+05,21,27,1,2,0,2398,191,4,0,0,5,1,0,0,3,"Defender"
"377","Jürgen Locadia","PSV Eindhoven",3e+06,20,31,3,13,5,2300,191,2,0,0,2,0,0,5,9,"Forward"
"378","Mawouna Amevor","Go Ahead Eagles Deventer",2e+05,22,22,1,1,2,1088,191,1,0,0,4,0,0,11,1,"Defender"
"379","Viktor Elm","AZ Alkmaar",3e+06,28,30,2.5,3,0,1948,192,2,0,0,2,0,0,6,10,"Midfielder"
"380","Denni Avdic","AZ Alkmaar",9e+05,25,13,2,0,0,442,192,1,0,0,2,0,0,10,2,"Forward"
"381","Nils Röseler","FC Twente Enschede",6e+05,22,2,0,0,0,11,192,1,1,0,0,0,0,2,0,"Defender"
"382","Harm Zeinstra","SC Cambuur-Leeuwarden",1e+05,24,4,0,0,0,287,192,1,0,0,0,0,0,1,0,"Goalkeeper"
"383","Geoffrey Castillion","NEC Nijmegen",5e+05,22,7,0,2,1,389,192,0.5,0,0,1,0,0,3,0,"Forward"
"384","Filip Kurto","Roda JC Kerkrade",5e+05,22,34,0,0,0,3060,192,2,0,1,1,0,0,0,0,"Goalkeeper"
"385","Tom Beugelsdijk","ADO Den Haag",750000,23,30,0,4,3,2598,192,4,0,0,11,0,0,1,3,"Defender"
"386","Jean-David Beauguel","RKC Waalwijk",3e+05,22,28,1,4,2,1083,192,1,0,0,5,0,0,18,7,"Forward"
"387","Stipe Perica","NAC Breda",1e+06,18,25,0,6,1,842,192,1,0,0,2,0,1,20,1,"Forward"
"388","Boris Rasevic","PEC Zwolle",50000,19,2,0,0,0,28,192,1,0,0,0,0,0,2,0,"Midfielder"
"389","Matthieu Delpierre","FC Utrecht",1e+06,33,14,0,0,1,1221,193,0.5,0,0,2,0,0,0,2,"Defender"
"390","Robert Braber","RKC Waalwijk",5e+05,31,28,1,3,3,2067,193,4,0,0,1,0,0,6,3,"Midfielder"
"391","Graziano Pellè","Feyenoord Rotterdam",6500000,28,28,3,23,6,2503,193,1,0,0,4,0,1,0,1,"Forward"
"392","Michiel Hemmen","SC Cambuur-Leeuwarden",5e+05,26,26,1,7,1,1548,193,2,0,0,2,0,0,12,4,"Forward"
"393","Eric Botteghin","FC Groningen",1500000,26,34,2,2,3,3031,193,1,0,0,5,0,1,0,0,"Defender"
"394","Erwin Mulder","Feyenoord Rotterdam",2500000,25,32,1,0,0,2880,193,7,0,0,3,0,0,0,0,"Goalkeeper"
"395","Wiljan Pluim","Roda JC Kerkrade",6e+05,25,23,0,2,1,1550,193,3,0,0,1,0,0,4,11,"Midfielder"
"396","Marco Bizot","FC Groningen",1500000,23,34,2,0,0,3060,193,2,0,0,2,0,0,0,0,"Goalkeeper"
"397","Esteban","AZ Alkmaar",3e+06,25,34,1,0,0,3060,193,4,0,0,2,0,0,0,0,"Goalkeeper"
"398","Mike van Duinen","ADO Den Haag",1500000,22,33,2,8,2,2934,193,3,1,0,6,0,0,0,2,"Forward"
"399","Mitchell Dijks","sc Heerenveen",1e+06,21,24,0,0,0,1729,193,1,0,0,3,0,2,3,3,"Defender"
"400","Diederik Boer","PEC Zwolle",5e+05,33,22,2,0,0,1906,194,10,0,0,1,0,0,0,1,"Goalkeeper"
"401","Mike Havenaar","Vitesse",2500000,26,32,0,10,7,2438,194,2.5,0,0,2,0,0,4,8,"Forward"
"402","Przemyslaw Tyton","PSV Eindhoven",3e+06,27,6,2,0,0,489,195,2,0,0,0,0,0,1,0,"Goalkeeper"
"403","Michiel Kramer","ADO Den Haag",4e+05,25,26,2,7,4,1461,195,1,0,0,5,0,0,11,6,"Forward"
"404","Ryan Koolwijk","NEC Nijmegen",1200000,28,22,0,1,5,1538,195,3,0,0,4,1,1,3,7,"Midfielder"
"405","Leon ter Wielen","PEC Zwolle",150000,25,3,0,0,0,192,195,4,0,0,0,0,0,2,0,"Goalkeeper"
"406","Jeroen Verhoeven","FC Utrecht",150000,34,4,1,0,0,360,196,2,0,0,0,0,0,0,0,"Goalkeeper"
"407","Brian Vandenbussche","sc Heerenveen",8e+05,32,2,0,0,0,95,196,10,0,0,0,0,0,1,0,"Goalkeeper"
"408","Robbin Ruiter","FC Utrecht",2e+06,27,30,2,0,0,2700,196,2,0,0,1,0,0,0,0,"Goalkeeper"
"409","Jens Streutker","Heracles Almelo",2e+05,21,11,0,1,0,606,196,1,0,0,0,0,0,4,2,"Defender"
"410","Bahnou Diarra","NEC Nijmegen",2e+05,20,4,1,0,0,180,175,1,0,0,0,0,0,2,2,"Midfielder"
"411","Daley Sinkgraven","sc Heerenveen",1e+05,18,15,3,0,4,559,179,1,0,0,1,0,0,10,3,"Midfielder"
"412","Wesley Hoedt","AZ Alkmaar",1e+05,20,1,1,0,0,45,192,1,0,0,0,0,0,1,0,"Defender"
"413","Jordy van der Winden","FC Utrecht",1e+05,20,2,1,0,0,135,176,1,0,0,0,0,0,0,1,"Defender"
"414","Arjen Hagenauw","FC Groningen",50000,19,1,1,0,0,1,188,1,0,0,0,0,0,1,0,"Forward"
"415","Sean Klaiber","FC Utrecht",1e+05,19,2,1,0,0,74,184,1,0,0,0,0,0,1,1,"Midfielder"
"416","Ingo van Weert","RKC Waalwijk",250000,20,11,1,0,1,877,185,1,0,0,2,1,0,1,2,"Defender"
"417","Aleksandar Bjelica","FC Utrecht",1e+05,20,6,1,0,0,92,180,1,0,0,0,0,0,6,0,"Defender"
